A1,A2,A3,A4,A5,class
13.11223,14.616217,65.540351,16.097878,60.333984,3.4
45.14392,76.172883,93.346757,70.290584,94.149852,0
60.143861,24.109905,62.76953,25.304927,47.195713,3.4
52.242023,88.066181,36.017427,55.838346,51.596868,0
32.031659,28.827164,27.600138,23.63264,3.209312,3.4
48.827608,25.705422,91.686496,43.127251,32.01643,3.4
58.044836,35.695603,26.693352,76.760171,99.246259,3.4
29.989902,48.643084,45.968832,54.720482,43.754337,6.8
24.11934,31.111379,30.747158,38.855976,66.717424,3.4
60.863325,48.983017,52.954131,45.707233,16.962614,6.8
71.21567,87.159227,65.648569,27.760358,80.752803,0
26.9788,56.244424,45.98793,0.527922,12.88671,2.5
8.031006,81.422256,14.820249,42.574262,40.382165,0
51.416174,1.427728,30.789631,42.30976,32.670955,3.4
74.198571,74.644599,83.670506,46.163232,82.018135,0
72.365293,54.643586,83.798694,9.664301,21.686279,0
54.722405,90.150104,78.386044,80.434979,18.967626,0
45.547349,49.62614,6.326106,38.89759,57.822366,3.4
94.000486,5.583398,8.146157,59.171959,99.462837,3.4
10.728595,98.896834,21.886689,57.525222,76.725357,0
54.106045,52.104131,84.470663,31.63831,62.657251,0
94.280025,5.686268,43.065223,69.841542,80.730906,6.8
55.561143,64.822877,63.939251,90.38707,22.834988,0
9.714859,71.181039,38.804743,1.849656,53.682237,0
85.99576,7.521659,93.847345,14.235607,61.206419,3.4
35.000218,39.275512,61.789787,83.714338,33.687696,3.4
51.999979,16.369989,65.215614,68.133083,69.39417,3.4
54.131027,84.622842,27.635239,28.463718,98.228723,0
29.118991,53.557312,27.482201,96.805357,94.14921,0
36.227401,35.055122,97.198682,19.160235,79.255733,3.4
64.095597,9.95661,55.526052,40.133636,36.886745,6.8
18.837432,85.852268,95.139898,29.222085,33.697993,0
39.730615,43.865099,96.556665,2.019965,80.018929,6.8
64.074817,53.168085,91.797015,65.850789,51.167639,0
96.517973,33.603249,33.832969,28.144143,43.320861,6.8
62.886081,77.267754,91.788114,71.268814,34.874234,0
44.741009,68.671488,40.926602,93.964307,24.045913,0
90.629594,6.003596,67.046926,25.166081,63.513459,3.4
7.024936,15.956252,26.920717,95.311128,83.366017,0
28.074157,5.87841,70.140031,31.680611,46.093145,3.4
23.275013,3.147661,84.944526,38.039675,5.924996,3.4
88.01793,85.6529,86.882242,20.494555,53.565754,0
79.150839,35.396195,7.008684,78.812587,58.643369,3.4
56.429964,7.093276,76.970711,52.122125,31.315003,3.4
95.20731,47.92435,53.262654,9.884394,96.998971,10.2
16.080748,63.287509,94.412769,57.923574,15.874524,0
28.856847,36.762797,7.389997,60.74383,32.239514,3.4
63.121182,48.956233,33.0569,14.334135,43.929778,3.4
95.473634,62.252812,88.55104,7.96503,59.583263,0
16.370403,34.132296,58.991691,4.59671,18.174463,6.8
41.178545,91.014342,58.547623,11.248432,16.467698,0
13.872939,95.079131,43.708066,49.092014,94.776257,0
88.836204,7.600598,78.006417,93.339779,60.16094,3.4
70.589167,99.772381,17.792179,34.142646,63.182393,0
4.09809,58.237268,52.453522,39.554113,27.216978,0
59.2059,92.904598,12.908516,68.713156,78.204963,0
71.285583,77.381014,26.0937,39.568301,22.806068,0
67.62537,63.224067,33.637006,86.334539,74.522738,0
43.684451,30.144223,43.635498,30.858463,28.171142,6.8
71.652223,97.933916,4.347589,56.258533,87.987196,0
11.390159,87.050256,7.153642,25.839854,59.447409,0
50.003241,61.516587,19.047581,1.517527,39.804122,0
66.986732,34.546546,12.100217,29.919636,43.745722,3.4
16.579817,64.184232,3.650043,53.264938,17.470227,0
7.658281,37.966374,93.326436,47.11433,39.463228,0
77.847653,75.472693,95.326493,19.346031,39.280317,0
87.231995,81.259802,45.329803,55.74225,40.782682,0
62.353128,66.393307,87.778933,62.160842,91.60135,0
76.357042,48.189435,80.682496,46.418381,2.602041,3.4
56.375103,36.942692,64.960313,76.001386,24.563956,3.4
39.570324,16.498639,44.323335,95.908942,65.858957,6.8
1.281201,70.368899,99.868417,19.460248,22.291093,0
38.235578,63.812287,29.518073,96.411501,76.352884,0
21.45747,99.937772,75.727051,94.314209,88.521489,0
94.926399,31.039902,22.033448,33.893099,77.506244,3.4
9.151508,34.38375,60.654112,1.395296,13.058603,3.4
42.229651,25.446636,93.464749,69.934603,31.642737,3.4
66.965175,53.925012,45.615331,37.094899,84.76314,0
44.458141,36.280573,41.552193,8.09855,30.705993,10.2
18.12065,6.646132,21.203739,94.839798,63.99986,3.4
49.478235,66.149181,36.378265,42.476257,99.117506,0
27.38159,34.987764,99.009968,85.479459,13.051674,3.4
57.689476,81.78981,36.029157,87.407053,54.71488,0
15.330705,81.629734,75.810978,3.192274,43.84199,0
1.861659,59.35774,25.913528,63.339434,72.267012,0
99.590683,33.621578,36.571354,11.226855,85.489015,10.2
13.575627,38.051963,62.558792,74.674651,14.592446,3.4
7.842662,91.425609,8.700616,59.328494,2.194697,0
15.774864,18.317532,48.259095,16.764251,43.283184,6.8
98.775009,6.627198,23.833658,34.657938,27.499842,3.4
65.575747,8.82013,68.152813,16.903076,61.744041,3.4
13.326034,37.282825,43.603194,85.799891,92.082378,6.8
73.978102,72.0128,9.69577,69.359863,52.794737,0
95.02133,74.878605,36.769503,98.304915,47.416541,0
29.249172,68.847453,87.41739,8.722558,59.358581,0
45.416362,11.133338,1.292559,76.145652,60.438218,3.4
36.121486,6.779234,77.460422,65.921293,85.500342,3.4
69.516358,28.68544,46.4165,40.344237,28.879926,6.8
73.957893,44.73605,48.683816,24.357546,14.812028,6.8
62.750042,17.150527,46.839835,70.502723,42.464201,6.8
51.918526,67.557773,64.837496,92.054704,10.226358,0
62.125165,68.035596,59.133595,21.514688,61.305405,0
58.949312,69.241082,38.095193,2.40702,62.923928,2.5
41.408515,79.269746,25.622548,63.639269,64.608623,0
39.947819,58.160462,83.467104,69.007174,45.063992,0
55.680065,76.195149,54.152886,44.476374,25.324373,0
78.409748,42.590135,59.530623,37.556182,21.395772,3.4
11.851545,12.103134,45.037715,14.10368,20.385325,3.4
89.690938,65.954312,69.550025,83.694799,25.99471,0
56.467856,61.959198,75.815233,5.445192,92.39577,0
70.020521,28.225777,32.252269,3.746541,82.826261,6.8
73.391925,39.809825,57.402929,19.372499,33.356585,3.4
54.668407,63.029154,39.946253,85.145527,70.791643,0
85.188494,8.288588,44.2256,34.441282,80.692918,6.8
97.114922,94.851763,87.789574,44.366511,16.390076,0
61.861674,70.236679,38.689608,83.697112,62.32419,0
30.414664,3.200714,49.105284,97.420813,58.988564,6.8
88.068449,33.133959,45.036768,12.618883,32.905875,6.8
35.725695,91.761034,62.828821,16.684797,26.583098,0
99.342368,70.023416,37.517715,32.790453,35.12093,0
52.536731,42.110245,98.332598,8.552849,93.337026,6.8
13.847102,1.939841,46.667672,2.898892,45.759747,10.2
84.629172,10.146344,35.755133,70.034047,56.378404,6.8
98.679978,40.370121,89.25144,22.561326,19.367356,3.4
7.230246,56.217217,95.088284,95.131748,68.426041,0
79.014736,30.638082,71.485311,93.504339,85.834523,3.4
68.933459,39.441938,20.997923,70.162331,27.703848,3.4
29.977173,62.793815,51.070465,47.795444,51.156331,0
19.380441,25.641765,71.830135,32.899773,48.017705,3.4
60.965811,82.881136,16.326806,33.002944,71.682135,0
25.824671,74.717437,17.459674,55.705251,83.343382,0
81.353761,69.454872,15.551617,80.998593,45.85058,0
71.754516,75.598678,51.354941,25.057275,44.155972,0
16.641383,95.832313,77.210871,30.089725,88.271667,0
44.776412,68.742662,5.061888,26.89157,31.180689,0
61.988578,93.512776,2.580834,61.558804,9.026042,0
12.795791,41.574926,88.658137,51.957761,98.234749,3.4
22.769663,65.02134,83.185541,1.596659,26.453716,0
83.84428,50.564885,96.820925,21.380429,94.145128,0
1.803747,71.474815,12.325581,10.950803,50.066537,0
30.158941,34.437855,28.02333,8.467059,86.965399,6.8
72.973908,80.590102,84.981799,78.095192,7.42014,0
98.608459,51.287533,82.870331,27.538387,37.286362,0
99.124989,1.630055,45.532928,70.897396,76.012883,6.8
2.379443,33.321341,88.369691,48.484317,14.562571,0
46.80192,34.694801,75.490223,17.961382,60.045493,3.4
0.893951,87.212121,47.475216,21.499685,77.095505,0
55.2492,10.414924,61.578752,48.218876,8.992304,3.4
91.949407,26.422345,29.826528,99.97014,6.471283,3.4
86.141678,12.897136,41.050599,37.902309,67.531723,6.8
10.589332,50.602827,0.338111,91.01324,77.506943,0
13.073259,41.93564,49.478599,2.542951,26.901536,10.2
9.575737,52.750478,60.070865,48.299851,89.58703,0
75.522711,41.068613,55.141963,40.696334,88.937719,6.8
75.701404,49.055719,39.374633,26.365076,1.956478,6.8
85.78565,64.876596,32.480954,31.114051,73.989783,0
61.525537,71.408328,10.155134,10.857559,29.174563,0
24.462999,83.648377,29.283291,9.27866,90.960619,0
13.224433,15.802395,53.641242,16.575084,21.437788,6.8
21.095121,85.652738,12.898793,88.632357,25.585319,0
89.717594,99.140476,46.368627,41.509308,93.57,0
92.306369,79.036469,29.80267,40.307587,95.745767,0
66.46917,85.250371,82.226209,87.60204,74.690642,0
96.568319,66.917864,90.49546,29.369201,19.4321,0
27.597656,11.67425,87.117626,9.941289,34.25471,6.8
78.905468,53.470759,53.605412,9.975728,61.53751,2.5
83.188129,90.660253,67.668901,58.451137,38.470695,0
82.370901,76.419712,55.026073,73.747009,84.950545,0
23.839105,99.785473,61.875662,97.821716,1.018425,0
28.040572,75.927212,31.169308,0.084392,64.643124,0
93.150161,94.08238,80.851301,70.863276,93.292082,0
39.054393,32.696566,61.445789,82.138255,11.209185,3.4
30.539582,7.057564,82.946662,41.342657,59.682861,3.4
54.624682,3.399615,90.717787,63.278204,43.467264,3.4
3.758609,2.523257,48.309688,68.675643,63.100485,3.4
40.003618,71.23904,44.831463,64.829366,94.491588,0
12.838005,52.962545,0.100194,27.920743,43.236079,0
11.530412,18.356189,73.869474,72.840999,98.284629,0
37.873862,58.7848,82.543229,63.978181,66.025685,0
20.757245,27.494625,21.223356,68.911914,97.065628,3.4
12.7553,62.17765,73.079446,23.683336,46.231714,0
57.284463,78.237017,40.035222,84.582841,13.953482,0
9.192453,20.516999,1.150196,28.850758,37.679079,0
60.636626,21.471439,50.378707,60.304825,30.109796,6.8
91.566118,78.961382,27.548925,67.839414,66.936102,0
71.910525,80.54758,34.431453,36.10206,86.933079,0
67.35129,56.74736,21.501358,93.750966,78.403015,0
95.96576,32.701566,6.839145,62.177729,45.723924,3.4
82.137694,43.948035,56.240304,20.132059,11.960242,3.4
94.861667,96.420098,22.80119,22.084946,92.752945,0
47.367011,97.49803,34.164115,16.532675,31.445203,0
48.63789,73.953289,16.749096,19.737045,85.549355,0
5.425897,49.879841,88.871272,88.292101,3.992445,0
26.2684,40.45578,14.781866,13.309777,25.492329,3.4
26.086834,69.074278,90.419707,9.610573,20.222894,0
28.881861,7.335368,69.522459,35.652692,86.746237,3.4
43.697447,72.581058,81.853573,93.76016,74.751408,0
40.638769,25.22753,7.331704,31.650703,76.863148,3.4
22.018736,35.205554,86.96989,76.946126,59.657874,3.4
36.804057,97.315476,5.739979,60.344844,89.923258,0
17.051199,93.888493,71.872949,55.916908,82.408378,0
10.681995,95.013983,79.724003,53.630899,99.150011,0
74.225112,42.443109,94.308222,17.315526,9.004801,3.4
43.629384,61.678813,15.56996,26.916463,28.087846,0
79.440219,94.288079,96.114939,87.659104,65.480977,0
28.087304,45.152254,62.341433,90.953381,13.545987,3.4
0.905587,37.065708,54.235141,95.730361,51.66174,3.4
80.537405,63.581757,55.54006,91.708787,0.78247,0
35.650418,94.667291,6.227086,98.381594,33.580137,0
37.874794,10.838088,82.850025,87.941685,83.332995,3.4
68.860947,80.217738,66.62485,70.916851,71.143213,0
0.587407,85.609424,5.648046,78.273366,53.295329,0
81.570255,68.878376,93.049342,94.273065,99.395552,0
73.345299,52.268591,65.305239,82.951599,69.890782,0
1.221631,38.101553,95.805919,93.419771,41.71246,0
7.448832,40.124808,43.584659,24.995606,87.181435,3.4
86.590089,31.717466,94.710968,50.306126,75.933884,3.4
89.691394,71.714057,20.340117,3.568995,28.678727,0
12.640622,64.768654,52.79652,56.182155,67.111031,0
63.501166,99.201146,8.251731,4.671253,25.302663,0
69.098526,30.459854,81.883596,3.399754,98.277973,6.8
45.991825,72.421874,17.808231,3.787748,82.119699,0
88.591956,26.401904,51.138946,87.362233,81.390206,6.8
99.339996,72.058062,60.794004,18.028559,42.193061,0
63.797101,32.251825,0.79654,81.955035,80.014074,3.4
77.596811,9.196841,77.101725,5.365588,26.725548,6.8
18.482504,37.95362,91.207173,23.684031,72.040194,3.4
46.823691,18.175869,28.023149,62.505393,48.778361,3.4
42.933534,4.444665,7.061817,43.312561,80.978191,3.4
33.821815,86.068698,44.837474,75.184711,92.838758,0
50.976055,95.602123,0.614956,91.778343,97.429412,0
8.517716,60.141457,30.39771,42.531862,89.326265,0
32.557629,30.366502,41.422798,37.652651,45.101357,6.8
29.402561,27.649,54.702004,55.697785,77.025149,6.8
64.245191,91.711863,46.730951,54.755888,48.00761,0
57.741287,51.782929,54.632799,18.135485,67.976741,0
59.532918,89.062918,82.231786,54.457171,64.887731,0
72.324202,87.595949,79.968463,66.418995,9.437503,0
33.807761,92.830001,41.311268,51.664622,43.792936,0
35.393797,64.279224,29.548573,84.877329,72.299257,0
75.290931,54.197362,58.778184,35.874359,42.43816,0
85.42269,60.047152,95.54662,10.923599,1.380255,0
36.171282,45.72493,76.888677,68.518336,69.354551,3.4
72.33595,75.684722,2.926655,39.94394,2.046479,0
28.193968,34.587535,24.530422,60.175766,45.935915,3.4
34.566615,27.946701,63.399512,55.948406,41.840491,3.4
47.699883,51.569854,69.811717,31.243854,21.818701,0
19.323359,87.687851,96.928791,16.661316,42.621652,0
97.876118,86.764133,69.921118,7.967035,5.140051,0
12.262856,15.884369,42.757996,96.939492,75.910682,3.4
84.934916,14.097304,35.70576,3.179247,87.367611,10.2
10.337896,47.426539,40.042277,62.763535,44.749561,3.4
62.061179,78.473438,0.496409,23.911939,49.685903,0
2.189631,14.381134,4.78716,87.772386,2.813705,0
85.041675,23.89795,89.632048,2.665678,67.267002,6.8
19.63482,21.812322,34.551733,96.440127,84.438536,6.8
39.110035,71.205414,18.066792,77.451721,69.871012,0
67.445586,7.496635,0.206156,91.373829,76.6509,3.4
43.121182,88.009929,45.349625,29.810643,45.649351,0
97.921301,57.068758,20.197043,98.502594,80.54376,0
37.928979,19.614161,19.938178,7.349446,71.108744,6.8
63.213823,66.200579,87.835726,2.603152,79.029026,0
6.817243,51.542399,85.838931,5.660525,28.09654,0
88.804671,57.068791,36.962408,88.951989,41.089633,0
50.874348,56.107665,74.368353,6.861735,0.360777,0
73.074853,66.141516,82.14528,5.005213,59.38219,0
77.965568,86.29976,90.624836,81.805497,82.506789,0
32.996362,30.559514,72.851608,91.795785,93.981767,3.4
44.917738,39.919011,39.085322,68.93792,45.613502,6.8
7.362642,50.262831,18.594142,48.925731,6.08989,0
85.973019,40.220653,34.440689,73.850068,81.797368,6.8
64.730126,89.491784,6.039722,13.153721,32.836685,0
41.590014,1.631329,64.02058,64.069272,47.842308,3.4
81.743074,84.157145,66.909099,79.983777,19.40258,0
78.181503,50.918453,16.403967,8.217584,81.685809,0
92.450844,28.425967,14.951752,44.508697,74.380092,3.4
27.101197,6.413925,59.351576,67.25867,18.911634,3.4
14.604311,45.116834,44.413191,4.02506,5.721241,10.2
18.662451,26.707679,39.127894,48.417281,66.108839,6.8
34.052822,78.364063,34.603679,55.400224,80.212152,0
0.537215,92.137203,15.514217,85.053682,28.487576,0
42.883673,44.529646,94.11824,47.433599,1.937613,3.4
98.704194,89.22335,33.072444,84.187546,57.779676,0
45.794196,7.362307,82.95172,57.924283,42.710869,3.4
50.163449,12.069123,33.037517,58.683707,8.293711,3.4
57.615836,7.584899,95.516266,60.058231,68.326931,3.4
39.695994,53.088015,12.941932,24.839257,21.950671,0
43.486651,34.907302,67.030634,9.094929,72.442399,6.8
45.618884,26.016146,56.869042,35.064515,22.919766,3.4
2.772309,24.197146,69.852686,12.014331,58.895135,0
12.178834,90.053842,60.065374,36.658222,87.639719,0
64.657388,37.292611,5.322159,66.439321,52.669679,3.4
47.16356,38.556689,12.301064,3.78109,72.89661,6.8
63.872253,40.620525,26.136764,55.250044,89.117669,3.4
3.524564,87.644746,47.449672,3.385863,72.395299,0
61.102872,47.111655,70.079725,27.139299,45.398461,3.4
62.145988,78.425337,7.673851,95.13246,27.879999,0
96.37994,82.418484,69.242423,56.020189,72.667198,0
41.021317,65.546278,62.57458,68.582453,24.116345,0
42.601584,91.486671,61.245835,61.599011,42.872538,0
23.486016,49.141226,2.723929,21.919738,35.539336,3.4
8.064251,86.270001,57.175295,55.289963,91.012644,0
17.084561,56.838598,37.002367,39.087435,86.509601,0
14.525636,70.782377,72.13362,98.509542,58.527508,0
25.222641,57.634084,40.761416,25.881322,15.126749,0
14.280781,70.534714,50.929426,80.594416,92.682189,0
68.87959,95.640508,61.503906,89.826402,53.458514,0
64.688785,52.306932,96.20419,30.297833,42.135153,0
26.055049,44.906672,7.802162,58.526848,23.705531,3.4
30.547288,92.5659,47.329751,15.008618,92.517966,0
35.832572,77.830235,50.656914,11.874553,1.894121,2.5
57.991015,41.881616,54.056683,85.288655,85.218169,6.8
23.309197,0.68244,12.346608,85.594131,77.646027,3.4
52.818356,24.451598,22.854136,26.637349,55.410362,3.4
55.323774,77.231215,21.750942,87.971582,82.699764,0
91.26754,0.164663,90.157897,55.974784,54.787567,3.4
6.891034,42.522443,75.688859,54.450999,22.250878,0
2.52533,28.180553,44.651416,75.411979,3.785034,3.4
59.297929,5.998892,69.337574,62.593073,4.747947,3.4
45.222698,90.24348,99.873713,81.481887,56.052808,0
25.541468,79.055649,84.455761,4.486552,68.250493,0
80.732706,26.171136,23.819487,42.98623,83.525824,3.4
2.593153,4.917127,48.893299,97.218688,68.35895,3.4
45.426905,78.263468,99.024556,56.631126,77.977346,0
36.087034,56.751985,84.517221,31.884113,55.413461,0
83.672327,43.667693,95.480235,76.151306,59.051971,3.4
87.481185,36.910474,30.816316,65.597542,91.28734,3.4
10.07746,59.740534,40.472351,79.943797,19.399887,0
60.384135,10.07759,88.475435,42.140667,60.645609,3.4
80.451909,45.700317,10.285672,94.444845,84.928178,3.4
48.228185,35.301288,49.357536,48.596354,22.783799,6.8
18.571692,50.708287,15.156602,58.498778,27.91441,0
44.283645,95.906901,27.63204,36.295375,40.705229,0
42.894554,3.120323,12.712346,88.507035,18.67121,3.4
24.426676,27.188237,50.089874,33.626084,59.346237,6.8
81.913517,64.979837,48.532297,58.745001,8.799544,0
98.196552,94.726367,3.648675,80.052304,88.040956,0
47.251048,99.665172,62.848737,27.241154,97.326879,0
82.415649,11.795442,34.148886,9.677961,59.465407,10.2
33.572231,96.557998,17.522615,29.18745,77.010643,0
99.720254,3.449754,85.057777,98.830232,82.262695,3.4
37.936968,35.073005,30.353011,98.964681,98.926429,3.4
40.297277,23.739193,7.731672,75.65992,3.98679,3.4
87.634931,39.606634,67.884461,23.30675,31.595513,3.4
55.288993,27.575108,49.346915,26.245008,39.384833,6.8
54.481702,87.958297,51.856142,34.491038,49.091482,0
13.875037,51.881723,71.219902,47.009648,63.651822,0
29.941682,7.399745,7.295089,19.138679,28.867393,3.4
49.940836,3.948674,92.531313,8.627621,96.234986,6.8
74.536659,76.476632,96.308093,98.460938,12.841882,0
28.279486,15.789341,23.796714,53.470626,15.948008,3.4
17.365142,56.293855,85.503168,65.631442,18.266495,0
62.047529,49.561155,14.945635,33.903788,18.300297,3.4
18.075158,94.74792,26.612404,89.246243,32.070873,0
33.114347,23.784717,16.556134,69.452607,99.588813,3.4
60.494078,81.023119,49.547855,85.214869,83.064006,0
83.232423,36.586901,44.427546,9.508517,85.787375,10.2
90.826558,8.573841,80.36715,57.378038,30.187308,3.4
17.646939,49.180873,59.857585,7.55827,6.76069,6.8
55.702792,23.49551,79.334553,26.957208,96.910137,3.4
62.705618,39.286746,76.131907,60.981764,94.800709,3.4
18.522403,65.176691,17.627956,37.704711,7.084614,0
46.883387,64.507079,79.056972,35.642819,90.715963,0
13.936204,28.772323,66.766226,95.251455,66.700509,3.4
89.874354,84.430377,91.905925,60.488958,8.298407,0
37.692509,8.503197,99.331335,91.36454,89.881511,3.4
29.310523,67.384454,16.749681,48.183527,9.356714,0
5.512939,89.042154,0.164251,75.164712,82.332701,0
39.340557,63.554299,71.471951,22.732837,4.862979,0
63.534047,94.07829,66.364351,70.161361,87.789553,0
82.652689,16.181785,99.289802,33.771352,34.146213,3.4
2.846437,39.154433,54.87301,37.400352,34.647577,3.4
28.27645,32.656532,22.606048,24.57065,2.328766,3.4
50.786844,65.460248,86.239181,48.060669,22.997757,0
85.183157,68.679721,20.603783,32.196924,28.000859,0
56.206799,5.656478,70.727514,33.264256,94.197584,3.4
77.672904,32.83947,38.066823,14.123516,77.936582,6.8
99.583323,88.039963,21.928911,12.277504,73.624773,0
86.946216,82.69414,47.195541,66.88833,35.756975,0
81.493668,65.2819,17.473537,83.092758,65.456873,0
26.084234,13.947359,33.220475,75.262288,66.93998,3.4
34.901569,35.243593,55.643417,69.806315,69.574084,6.8
7.687423,93.957132,14.744126,71.368329,36.373244,0
73.463149,38.467234,10.264918,20.291329,43.685803,3.4
17.247012,32.405059,30.124362,4.077018,97.466498,6.8
5.535258,87.139153,69.17199,4.246951,27.538064,0
66.355926,33.526742,68.823747,1.933718,77.220942,6.8
82.949446,28.727382,39.022786,77.449488,4.884952,6.8
71.3293,24.249945,31.272846,35.284715,10.941126,3.4
6.404291,32.014097,41.891918,12.4098,97.431689,3.4
70.734121,84.594252,0.030058,42.919805,47.630545,0
12.344477,19.599544,17.7267,90.93875,53.121555,0
53.570786,24.758902,69.275529,28.502762,24.508184,3.4
